idx1,idx2,weight,type
669,1034,1,1
601,1168,1,1
292,1138,1,1
370,790,1,1
582,1134,1,1
538,1035,1,1
703,996,1,1
595,1165,1,1
175,1882,1,1
175,1881,1,1
389,949,1,1
65,807,1,1
499,949,1,1
314,1134,1,1
632,863,1,1
499,956,1,1
292,1110,1,1
441,987,1,1
458,1102,1,1
40,1004,1,1
182,1168,1,1
474,954,1,1
299,2213,1,1
344,945,1,1
281,893,1,1
43,1010,1,1
458,1169,1,1
148,1038,1,1
529,964,1,1
148,1034,1,1
370,822,1,1
637,721,1,1
606,1102,1,1
529,931,1,1
637,726,1,1
43,981,1,1
330,847,1,1
128,1316,1,1
148,1017,1,1
643,816,1,1
590,1069,1,1
65,816,1,1
299,2212,1,1
299,2214,1,1
71,952,1,1
68,1220,1,1
479,1566,1,1
590,998,1,1
118,789,1,1
148,931,1,1
311,1299,1,1
239,897,1,1
375,1091,1,1
148,929,1,1
300,775,1,1
637,821,1,1
359,816,1,1
477,786,1,1
477,791,1,1
422,1167,1,1
153,1088,1,1
102,806,1,1
148,902,1,1
220,858,1,1
123,1321,1,1
217,1148,1,1
299,2215,1,1
389,996,1,1
299,2216,1,1
637,793,1,1
148,964,1,1
477,720,1,1
370,751,1,1
330,757,1,1
170,872,1,1
297,823,1,1
40,1035,1,1
140,903,1,1
330,734,1,1
526,894,1,1
27,897,1,1
68,1190,1,1
93,1883,1,1
93,1882,1,1
87,1169,1,1
93,1881,1,1
96,1150,1,1
281,897,1,1
397,964,1,1
123,1036,1,1
367,1180,1,1
367,1183,1,1
170,1102,1,1
148,1169,1,1
496,1350,1,1
286,1404,1,1
367,1201,1,1
123,1034,1,1
573,1870,1,1
10,1202,1,1
573,1869,1,1
322,1066,1,1
330,1030,1,1
43,1168,1,1
595,1381,1,1
585,775,1,1
361,1630,1,1
84,997,1,1
10,1201,1,1
523,1695,1,1
626,1138,1,1
372,1150,1,1
250,768,1,1
57,1102,1,1
327,858,1,1
286,1473,1,1
532,1281,1,1
624,734,1,1
419,1027,1,1
76,1066,1,1
697,1719,1,1
32,1036,1,1
344,718,1,1
624,720,1,1
668,779,1,1
123,996,1,1
367,1168,1,1
595,1428,1,1
523,1697,1,1
523,1696,1,1
361,1632,1,1
179,858,1,1
286,1254,1,1
541,756,1,1
590,1160,1,1
123,1115,1,1
656,1126,1,1
703,872,1,1
344,858,1,1
330,940,1,1
614,1167,1,1
322,1150,1,1
115,1853,1,1
123,1102,1,1
560,827,1,1
148,1082,1,1
529,1017,1,1
170,996,1,1
394,1072,1,1
99,853,1,1
134,1624,1,1
140,775,1,1
76,951,1,1
330,964,1,1
32,996,1,1
167,1134,1,1
24,1030,1,1
7,1167,1,1
496,1318,1,1
148,1143,1,1
13,806,1,1
425,951,1,1
10,1131,1,1
43,1129,1,1
96,1066,1,1
590,1168,1,1
226,1491,1,1
330,986,1,1
62,987,1,1
430,849,1,1
626,1174,1,1
488,894,1,1
469,1404,1,1
190,1446,1,1
491,858,1,1
529,753,1,1
496,1423,1,1
672,1878,1,1
292,756,1,1
234,1560,1,1
164,897,1,1
528,1910,1,1
523,1129,1,1
164,893,1,1
270,781,1,1
49,1017,1,1
672,1877,1,1
573,1168,1,1
672,1876,1,1
672,1875,1,1
135,722,1,1
672,1874,1,1
120,1038,1,1
120,1036,1,1
2,854,1,1
120,1034,1,1
185,873,1,1
286,714,1,1
678,1143,1,1
521,806,1,1
544,986,1,1
49,1076,1,1
275,1156,1,1
261,858,1,1
35,1076,1,1
389,1329,1,1
35,1082,1,1
523,1168,1,1
458,806,1,1
120,1076,1,1
64,1882,1,1
64,1881,1,1
477,1074,1,1
120,1087,1,1
153,781,1,1
120,1082,1,1
499,1329,1,1
588,720,1,1
120,1030,1,1
544,1074,1,1
273,781,1,1
433,1213,1,1
135,814,1,1
20,1768,1,1
445,768,1,1
185,964,1,1
49,931,1,1
356,1453,1,1
204,858,1,1
573,1025,1,1
469,810,1,1
463,827,1,1
573,1018,1,1
362,757,1,1
120,940,1,1
120,929,1,1
573,998,1,1
549,1074,1,1
609,1566,1,1
588,872,1,1
120,964,1,1
356,1435,1,1
35,1169,1,1
300,1165,1,1
477,1143,1,1
661,1028,1,1
549,986,1,1
356,1373,1,1
617,734,1,1
2,878,1,1
120,1017,1,1
588,791,1,1
120,996,1,1
544,1138,1,1
408,1103,1,1
579,1559,1,1
573,1070,1,1
49,964,1,1
637,1203,1,1
637,1204,1,1
429,1714,1,1
364,858,1,1
595,775,1,1
433,1019,1,1
617,1131,1,1
617,1030,1,1
389,1143,1,1
406,810,1,1
292,956,1,1
526,1023,1,1
120,1269,1,1
46,1746,1,1
217,1278,1,1
140,1028,1,1
115,1566,1,1
375,988,1,1
261,718,1,1
193,759,1,1
637,966,1,1
35,931,1,1
87,971,1,1
433,891,1,1
275,1297,1,1
469,1065,1,1
352,1383,1,1
35,873,1,1
159,1143,1,1
499,1088,1,1
397,954,1,1
43,779,1,1
389,1087,1,1
87,1082,1,1
62,1254,1,1
245,872,1,1
148,873,1,1
148,872,1,1
496,961,1,1
661,1349,1,1
286,987,1,1
573,1450,1,1
433,816,1,1
292,984,1,1
570,1872,1,1
341,816,1,1
245,902,1,1
637,916,1,1
573,1365,1,1
532,1889,1,1
477,1038,1,1
46,1885,1,1
458,873,1,1
62,1404,1,1
120,1169,1,1
496,802,1,1
87,873,1,1
433,984,1,1
676,1027,1,1
46,1884,1,1
46,1886,1,1
319,1088,1,1
46,1887,1,1
46,1888,1,1
148,720,1,1
120,1143,1,1
15,1632,1,1
15,1630,1,1
356,1226,1,1
292,816,1,1
245,1034,1,1
68,1434,1,1
477,929,1,1
573,1333,1,1
185,720,1,1
292,911,1,1
148,791,1,1
193,740,1,1
606,806,1,1
450,1102,1,1
341,727,1,1
573,1335,1,1
496,848,1,1
367,1693,1,1
35,971,1,1
621,753,1,1
491,718,1,1
131,883,1,1
